Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.14M,0)
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.274000e+12 0.00 1.000000 2.056462 2.272633 2.694277
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.269000e+12 0.00 1.000000 2.057661 2.273887 2.695627
1.267000e+12 0.00 1.000000 2.058142 2.274390 2.696168
1.267000e+12 0.00 1.000000 2.058142 2.274390 2.696168
1.263000e+12 0.00 1.000000 2.059106 2.275399 2.697254
1.263000e+12 0.00 1.000000 2.059106 2.275399 2.697254
1.263000e+12 0.00 1.000000 2.059106 2.275399 2.697254
1.261000e+12 0.00 1.000000 2.059589 2.275904 2.697798
1.261000e+12 0.00 1.000000 2.059589 2.275904 2.697798
1.261000e+12 0.00 1.000000 2.059589 2.275904 2.697798
1.259000e+12 0.00 1.000000 2.060073 2.276411 2.698344
1.259000e+12 0.00 1.000000 2.060073 2.276411 2.698344
1.259000e+12 0.00 1.000000 2.060073 2.276411 2.698344
1.259000e+12 0.00 1.000000 2.060073 2.276411 2.698344
1.257000e+12 0.00 1.000000 2.060558 2.276918 2.698890
1.255000e+12 0.00 1.000000 2.061044 2.277427 2.699437
1.255000e+12 0.00 1.000000 2.061044 2.277427 2.699437
1.255000e+12 0.00 1.000000 2.061044 2.277427 2.699437
1.253000e+12 0.00 1.000000 2.061530 2.277936 2.699985
1.253000e+12 0.00 1.000000 2.061530 2.277936 2.699985
1.251000e+12 0.00 1.000000 2.062018 2.278446 2.700534
1.251000e+12 0.00 1.000000 2.062018 2.278446 2.700534
1.251000e+12 0.00 1.000000 2.062018 2.278446 2.700534
1.249000e+12 0.00 1.000000 2.062506 2.278956 2.701083
1.247000e+12 0.00 1.000000 2.062995 2.279468 2.701634
1.244000e+12 0.00 1.000000 2.063730 2.280237 2.702462
1.244000e+12 0.00 1.000000 2.063730 2.280237 2.702462
1.244000e+12 0.00 1.000000 2.063730 2.280237 2.702462
1.243000e+12 0.00 1.000000 2.063976 2.280494 2.702738
1.243000e+12 0.00 1.000000 2.063976 2.280494 2.702738
1.243000e+12 0.00 1.000000 2.063976 2.280494 2.702738
1.240000e+12 0.00 1.000000 2.064714 2.281266 2.703569
1.238000e+12 0.00 1.000000 2.065207 2.281781 2.704123
1.236000e+12 0.00 1.000000 2.065700 2.282298 2.704679
1.236000e+12 0.00 1.000000 2.065700 2.282298 2.704679
1.234000e+12 0.00 1.000000 2.066195 2.282815 2.705236
1.234000e+12 0.00 1.000000 2.066195 2.282815 2.705236
1.234000e+12 0.00 1.000000 2.066195 2.282815 2.705236
1.232000e+12 0.00 1.000000 2.066690 2.283333 2.705794
1.230000e+12 0.00 1.000000 2.067187 2.283853 2.706353
1.230000e+12 0.00 1.000000 2.067187 2.283853 2.706353
1.230000e+12 0.00 1.000000 2.067187 2.283853 2.706353
1.228000e+12 0.00 1.000000 2.067684 2.284373 2.706912
1.228000e+12 0.00 1.000000 2.067684 2.284373 2.706912
1.224000e+12 0.00 1.000000 2.068681 2.285416 2.708035
1.222000e+12 0.00 1.000000 2.069181 2.285938 2.708597
1.222000e+12 0.00 1.000000 2.069181 2.285938 2.708597
1.222000e+12 0.00 1.000000 2.069181 2.285938 2.708597
1.222000e+12 0.00 1.000000 2.069181 2.285938 2.708597
1.222000e+12 0.00 1.000000 2.069181 2.285938 2.708597
1.220000e+12 0.00 1.000000 2.069681 2.286462 2.709161
1.220000e+12 0.00 1.000000 2.069681 2.286462 2.709161
1.220000e+12 0.00 1.000000 2.069681 2.286462 2.709161
1.220000e+12 0.00 1.000000 2.069681 2.286462 2.709161
1.220000e+12 0.00 1.000000 2.069681 2.286462 2.709161
1.220000e+12 0.00 1.000000 2.069681 2.286462 2.709161
1.218000e+12 0.00 1.000000 2.070183 2.286987 2.709725
1.218000e+12 0.00 1.000000 2.070183 2.286987 2.709725
1.218000e+12 0.00 1.000000 2.070183 2.286987 2.709725
1.216000e+12 0.00 1.000000 2.070685 2.287512 2.710291
1.216000e+12 0.00 1.000000 2.070685 2.287512 2.710291
1.213000e+12 0.00 1.000000 2.071440 2.288302 2.711141
1.213000e+12 0.00 1.000000 2.071440 2.288302 2.711141
1.213000e+12 0.00 1.000000 2.071440 2.288302 2.711141
1.211000e+12 0.00 1.000000 2.071945 2.288830 2.711709
1.211000e+12 0.00 1.000000 2.071945 2.288830 2.711709
1.211000e+12 0.00 1.000000 2.071945 2.288830 2.711709
1.209000e+12 0.00 1.000000 2.072451 2.289359 2.712278
1.209000e+12 0.00 1.000000 2.072451 2.289359 2.712278
1.209000e+12 0.00 1.000000 2.072451 2.289359 2.712278
1.205000e+12 0.00 1.000000 2.073464 2.290419 2.713419
1.205000e+12 0.00 1.000000 2.073464 2.290419 2.713419
1.203000e+12 0.00 1.000000 2.073973 2.290951 2.713990
1.203000e+12 0.00 1.000000 2.073973 2.290951 2.713990
1.203000e+12 0.00 1.000000 2.073973 2.290951 2.713990
1.201000e+12 0.00 1.000000 2.074482 2.291483 2.714563
1.201000e+12 0.00 1.000000 2.074482 2.291483 2.714563
1.201000e+12 0.00 1.000000 2.074482 2.291483 2.714563
1.199000e+12 0.00 1.000000 2.074992 2.292017 2.715137
1.199000e+12 0.00 1.000000 2.074992 2.292017 2.715137
1.199000e+12 0.00 1.000000 2.074992 2.292017 2.715137
1.199000e+12 0.00 1.000000 2.074992 2.292017 2.715137
1.199000e+12 0.00 1.000000 2.074992 2.292017 2.715137
1.197000e+12 0.00 1.000000 2.075503 2.292551 2.715712
1.197000e+12 0.00 1.000000 2.075503 2.292551 2.715712
1.197000e+12 0.00 1.000000 2.075503 2.292551 2.715712
1.197000e+12 0.00 1.000000 2.075503 2.292551 2.715712
1.197000e+12 0.00 1.000000 2.075503 2.292551 2.715712
1.195000e+12 0.00 1.000000 2.076015 2.293086 2.716288
1.195000e+12 0.00 1.000000 2.076015 2.293086 2.716288
1.193000e+12 0.00 1.000000 2.076527 2.293623 2.716865
1.193000e+12 0.00 1.000000 2.076527 2.293623 2.716865
1.193000e+12 0.00 1.000000 2.076527 2.293623 2.716865
1.193000e+12 0.00 1.000000 2.076527 2.293623 2.716865
1.191000e+12 0.00 1.000000 2.077041 2.294160 2.717443
1.191000e+12 0.00 1.000000 2.077041 2.294160 2.717443
1.191000e+12 0.00 1.000000 2.077041 2.294160 2.717443
1.189000e+12 0.00 1.000000 2.077556 2.294698 2.718022
1.189000e+12 0.00 1.000000 2.077556 2.294698 2.718022
1.189000e+12 0.00 1.000000 2.077556 2.294698 2.718022
1.189000e+12 0.00 1.000000 2.077556 2.294698 2.718022
1.189000e+12 0.00 1.000000 2.077556 2.294698 2.718022
1.189000e+12 0.00 1.000000 2.077556 2.294698 2.718022
1.185000e+12 0.00 1.000000 2.078587 2.295777 2.719183
1.185000e+12 0.00 1.000000 2.078587 2.295777 2.719183
1.185000e+12 0.00 1.000000 2.078587 2.295777 2.719183
1.185000e+12 0.00 1.000000 2.078587 2.295777 2.719183
1.182000e+12 0.00 1.000000 2.079364 2.296589 2.720057
1.182000e+12 0.00 1.000000 2.079364 2.296589 2.720057
1.182000e+12 0.00 1.000000 2.079364 2.296589 2.720057
1.182000e+12 0.00 1.000000 2.079364 2.296589 2.720057
1.182000e+12 0.00 1.000000 2.079364 2.296589 2.720057
1.180000e+12 0.00 1.000000 2.079882 2.297132 2.720640
1.180000e+12 0.00 1.000000 2.079882 2.297132 2.720640
1.180000e+12 0.00 1.000000 2.079882 2.297132 2.720640
1.178000e+12 0.00 1.000000 2.080402 2.297676 2.721225
1.178000e+12 0.00 1.000000 2.080402 2.297676 2.721225
1.178000e+12 0.00 1.000000 2.080402 2.297676 2.721225
1.176000e+12 0.00 1.000000 2.080923 2.298220 2.721811
1.176000e+12 0.00 1.000000 2.080923 2.298220 2.721811
1.176000e+12 0.00 1.000000 2.080923 2.298220 2.721811
1.176000e+12 0.00 1.000000 2.080923 2.298220 2.721811
1.174000e+12 0.00 1.000000 2.081444 2.298766 2.722398
1.174000e+12 0.00 1.000000 2.081444 2.298766 2.722398
1.174000e+12 0.00 1.000000 2.081444 2.298766 2.722398
1.172000e+12 0.00 1.000000 2.081967 2.299312 2.722985
1.172000e+12 0.00 1.000000 2.081967 2.299312 2.722985
1.170000e+12 0.00 1.000000 2.082490 2.299860 2.723574
1.170000e+12 0.00 1.000000 2.082490 2.299860 2.723574
1.170000e+12 0.00 1.000000 2.082490 2.299860 2.723574
1.170000e+12 0.00 1.000000 2.082490 2.299860 2.723574
1.168000e+12 0.00 1.000000 2.083015 2.300408 2.724164
1.168000e+12 0.00 1.000000 2.083015 2.300408 2.724164
1.168000e+12 0.00 1.000000 2.083015 2.300408 2.724164
1.168000e+12 0.00 1.000000 2.083015 2.300408 2.724164
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.166000e+12 0.00 1.000000 2.083540 2.300957 2.724755
1.164000e+12 0.00 1.000000 2.084066 2.301508 2.725347
1.164000e+12 0.00 1.000000 2.084066 2.301508 2.725347
1.162000e+12 0.00 1.000000 2.084594 2.302059 2.725941
1.162000e+12 0.00 1.000000 2.084594 2.302059 2.725941
1.160000e+12 0.00 1.000000 2.085122 2.302612 2.726535
1.158000e+12 0.00 1.000000 2.085651 2.303165 2.727130
1.158000e+12 0.00 1.000000 2.085651 2.303165 2.727130
1.158000e+12 0.00 1.000000 2.085651 2.303165 2.727130
1.156000e+12 0.00 1.000000 2.086182 2.303720 2.727727
1.154000e+12 0.00 1.000000 2.086713 2.304276 2.728324
1.154000e+12 0.00 1.000000 2.086713 2.304276 2.728324
1.154000e+12 0.00 1.000000 2.086713 2.304276 2.728324
1.152000e+12 0.00 1.000000 2.087245 2.304832 2.728923
1.149000e+12 0.00 1.000000 2.088045 2.305669 2.729823
1.149000e+12 0.00 1.000000 2.088045 2.305669 2.729823
1.149000e+12 0.00 1.000000 2.088045 2.305669 2.729823
1.149000e+12 0.00 1.000000 2.088045 2.305669 2.729823
1.149000e+12 0.00 1.000000 2.088045 2.305669 2.729823
1.149000e+12 0.00 1.000000 2.088045 2.305669 2.729823
1.149000e+12 0.00 1.000000 2.088045 2.305669 2.729823
1.147000e+12 0.00 1.000000 2.088580 2.306228 2.730424
1.147000e+12 0.00 1.000000 2.088580 2.306228 2.730424
1.147000e+12 0.00 1.000000 2.088580 2.306228 2.730424
1.145000e+12 0.00 1.000000 2.089116 2.306788 2.731027
1.143000e+12 0.00 1.000000 2.089653 2.307349 2.731630
1.143000e+12 0.00 1.000000 2.089653 2.307349 2.731630
1.143000e+12 0.00 1.000000 2.089653 2.307349 2.731630
1.143000e+12 0.00 1.000000 2.089653 2.307349 2.731630
1.143000e+12 0.00 1.000000 2.089653 2.307349 2.731630
1.141000e+12 0.00 1.000000 2.090190 2.307912 2.732235
1.141000e+12 0.00 1.000000 2.090190 2.307912 2.732235
1.141000e+12 0.00 1.000000 2.090190 2.307912 2.732235
1.139000e+12 0.00 1.000000 2.090729 2.308475 2.732840
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.137000e+12 0.00 1.000000 2.091269 2.309039 2.733447
1.135000e+12 0.00 1.000000 2.091809 2.309605 2.734055
1.135000e+12 0.00 1.000000 2.091809 2.309605 2.734055
1.135000e+12 0.00 1.000000 2.091809 2.309605 2.734055
1.133000e+12 0.00 1.000000 2.092351 2.310171 2.734664
1.133000e+12 0.00 1.000000 2.092351 2.310171 2.734664
1.133000e+12 0.00 1.000000 2.092351 2.310171 2.734664
1.133000e+12 0.00 1.000000 2.092351 2.310171 2.734664
1.131000e+12 0.00 1.000000 2.092894 2.310739 2.735275
1.131000e+12 0.00 1.000000 2.092894 2.310739 2.735275
1.131000e+12 0.00 1.000000 2.092894 2.310739 2.735275
1.129000e+12 0.00 1.000000 2.093438 2.311307 2.735886
1.129000e+12 0.00 1.000000 2.093438 2.311307 2.735886
1.129000e+12 0.00 1.000000 2.093438 2.311307 2.735886
1.129000e+12 0.00 1.000000 2.093438 2.311307 2.735886
1.127000e+12 0.00 1.000000 2.093983 2.311877 2.736499
1.127000e+12 0.00 1.000000 2.093983 2.311877 2.736499
1.127000e+12 0.00 1.000000 2.093983 2.311877 2.736499
1.125000e+12 0.00 1.000000 2.094528 2.312448 2.737112
1.125000e+12 0.00 1.000000 2.094528 2.312448 2.737112
1.125000e+12 0.00 1.000000 2.094528 2.312448 2.737112
1.125000e+12 0.00 1.000000 2.094528 2.312448 2.737112
1.125000e+12 0.00 1.000000 2.094528 2.312448 2.737112
1.123000e+12 0.00 1.000000 2.095075 2.313020 2.737727
1.123000e+12 0.00 1.000000 2.095075 2.313020 2.737727
1.121000e+12 0.00 1.000000 2.095623 2.313592 2.738343
1.121000e+12 0.00 1.000000 2.095623 2.313592 2.738343
1.118000e+12 0.00 1.000000 2.096447 2.314454 2.739269
1.118000e+12 0.00 1.000000 2.096447 2.314454 2.739269
1.118000e+12 0.00 1.000000 2.096447 2.314454 2.739269
1.116000e+12 0.00 1.000000 2.096998 2.315029 2.739888
1.116000e+12 0.00 1.000000 2.096998 2.315029 2.739888
1.116000e+12 0.00 1.000000 2.096998 2.315029 2.739888
1.116000e+12 0.00 1.000000 2.096998 2.315029 2.739888
1.116000e+12 0.00 1.000000 2.096998 2.315029 2.739888
1.114000e+12 0.00 1.000000 2.097549 2.315606 2.740508
1.112000e+12 0.00 1.000000 2.098102 2.316184 2.741129
1.112000e+12 0.00 1.000000 2.098102 2.316184 2.741129
1.112000e+12 0.00 1.000000 2.098102 2.316184 2.741129
1.112000e+12 0.00 1.000000 2.098102 2.316184 2.741129
1.112000e+12 0.00 1.000000 2.098102 2.316184 2.741129
1.110000e+12 0.00 1.000000 2.098656 2.316763 2.741752
1.110000e+12 0.00 1.000000 2.098656 2.316763 2.741752
1.108000e+12 0.00 1.000000 2.099211 2.317343 2.742375
1.108000e+12 0.00 1.000000 2.099211 2.317343 2.742375
1.106000e+12 0.00 1.000000 2.099766 2.317924 2.743000
1.106000e+12 0.00 1.000000 2.099766 2.317924 2.743000
1.106000e+12 0.00 1.000000 2.099766 2.317924 2.743000
1.104000e+12 0.00 1.000000 2.100323 2.318506 2.743626
1.104000e+12 0.00 1.000000 2.100323 2.318506 2.743626
1.104000e+12 0.00 1.000000 2.100323 2.318506 2.743626
1.104000e+12 0.00 1.000000 2.100323 2.318506 2.743626
1.102000e+12 0.00 1.000000 2.100881 2.319090 2.744253
1.102000e+12 0.00 1.000000 2.100881 2.319090 2.744253
1.102000e+12 0.00 1.000000 2.100881 2.319090 2.744253
1.102000e+12 0.00 1.000000 2.100881 2.319090 2.744253
1.100000e+12 0.00 1.000000 2.101440 2.319674 2.744882
1.100000e+12 0.00 1.000000 2.101440 2.319674 2.744882
1.100000e+12 0.00 1.000000 2.101440 2.319674 2.744882
1.100000e+12 0.00 1.000000 2.101440 2.319674 2.744882
1.100000e+12 0.00 1.000000 2.101440 2.319674 2.744882
1.100000e+12 0.00 1.000000 2.101440 2.319674 2.744882
1.098000e+12 0.00 1.000000 2.102001 2.320260 2.745511
1.098000e+12 0.00 1.000000 2.102001 2.320260 2.745511
1.098000e+12 0.00 1.000000 2.102001 2.320260 2.745511
1.096000e+12 0.00 1.000000 2.102562 2.320847 2.746142
1.096000e+12 0.00 1.000000 2.102562 2.320847 2.746142
1.094000e+12 0.00 1.000000 2.103124 2.321434 2.746774
1.094000e+12 0.00 1.000000 2.103124 2.321434 2.746774
1.094000e+12 0.00 1.000000 2.103124 2.321434 2.746774
1.092000e+12 0.00 1.000000 2.103688 2.322024 2.747408
1.092000e+12 0.00 1.000000 2.103688 2.322024 2.747408
1.092000e+12 0.00 1.000000 2.103688 2.322024 2.747408
1.087000e+12 0.00 1.000000 2.105101 2.323501 2.748996
1.087000e+12 0.00 1.000000 2.105101 2.323501 2.748996
1.087000e+12 0.00 1.000000 2.105101 2.323501 2.748996
1.087000e+12 0.00 1.000000 2.105101 2.323501 2.748996
1.087000e+12 0.00 1.000000 2.105101 2.323501 2.748996
1.087000e+12 0.00 1.000000 2.105101 2.323501 2.748996
1.085000e+12 0.00 1.000000 2.105669 2.324094 2.749634
1.085000e+12 0.00 1.000000 2.105669 2.324094 2.749634
1.085000e+12 0.00 1.000000 2.105669 2.324094 2.749634
1.083000e+12 0.00 1.000000 2.106237 2.324688 2.750272
1.083000e+12 0.00 1.000000 2.106237 2.324688 2.750272
1.083000e+12 0.00 1.000000 2.106237 2.324688 2.750272
1.083000e+12 0.00 1.000000 2.106237 2.324688 2.750272
1.081000e+12 0.00 1.000000 2.106807 2.325284 2.750912
1.081000e+12 0.00 1.000000 2.106807 2.325284 2.750912
1.081000e+12 0.00 1.000000 2.106807 2.325284 2.750912
1.081000e+12 0.00 1.000000 2.106807 2.325284 2.750912
1.079000e+12 0.00 1.000000 2.107377 2.325880 2.751554
1.079000e+12 0.00 1.000000 2.107377 2.325880 2.751554
1.079000e+12 0.00 1.000000 2.107377 2.325880 2.751554
1.079000e+12 0.00 1.000000 2.107377 2.325880 2.751554
1.079000e+12 0.00 1.000000 2.107377 2.325880 2.751554
1.079000e+12 0.00 1.000000 2.107377 2.325880 2.751554
1.079000e+12 0.00 1.000000 2.107377 2.325880 2.751554
1.077000e+12 0.00 1.000000 2.107949 2.326478 2.752196
1.077000e+12 0.00 1.000000 2.107949 2.326478 2.752196
1.077000e+12 0.00 1.000000 2.107949 2.326478 2.752196
1.075000e+12 0.00 1.000000 2.108522 2.327077 2.752840
1.075000e+12 0.00 1.000000 2.108522 2.327077 2.752840
1.075000e+12 0.00 1.000000 2.108522 2.327077 2.752840
1.075000e+12 0.00 1.000000 2.108522 2.327077 2.752840
1.073000e+12 0.00 1.000000 2.109096 2.327677 2.753485
1.073000e+12 0.00 1.000000 2.109096 2.327677 2.753485
1.073000e+12 0.00 1.000000 2.109096 2.327677 2.753485
1.073000e+12 0.00 1.000000 2.109096 2.327677 2.753485
1.073000e+12 0.00 1.000000 2.109096 2.327677 2.753485
1.073000e+12 0.00 1.000000 2.109096 2.327677 2.753485
1.071000e+12 0.00 1.000000 2.109672 2.328279 2.754131
1.071000e+12 0.00 1.000000 2.109672 2.328279 2.754131
1.069000e+12 0.00 1.000000 2.110248 2.328881 2.754779
1.069000e+12 0.00 1.000000 2.110248 2.328881 2.754779
1.069000e+12 0.00 1.000000 2.110248 2.328881 2.754779
1.067000e+12 0.00 1.000000 2.110826 2.329485 2.755428
1.067000e+12 0.00 1.000000 2.110826 2.329485 2.755428
1.065000e+12 0.00 1.000000 2.111404 2.330090 2.756078
1.065000e+12 0.00 1.000000 2.111404 2.330090 2.756078
1.065000e+12 0.00 1.000000 2.111404 2.330090 2.756078
1.065000e+12 0.00 1.000000 2.111404 2.330090 2.756078
1.065000e+12 0.00 1.000000 2.111404 2.330090 2.756078
1.065000e+12 0.00 1.000000 2.111404 2.330090 2.756078
1.065000e+12 0.00 1.000000 2.111404 2.330090 2.756078
1.063000e+12 0.00 1.000000 2.111984 2.330696 2.756729
1.063000e+12 0.00 1.000000 2.111984 2.330696 2.756729
1.061000e+12 0.00 1.000000 2.112565 2.331303 2.757382
1.061000e+12 0.00 1.000000 2.112565 2.331303 2.757382
1.061000e+12 0.00 1.000000 2.112565 2.331303 2.757382
1.061000e+12 0.00 1.000000 2.112565 2.331303 2.757382
1.058000e+12 0.00 1.000000 2.113439 2.332216 2.758364
1.058000e+12 0.00 1.000000 2.113439 2.332216 2.758364
1.056000e+12 0.00 1.000000 2.114023 2.332827 2.759019
1.056000e+12 0.00 1.000000 2.114023 2.332827 2.759019
1.056000e+12 0.00 1.000000 2.114023 2.332827 2.759019
1.056000e+12 0.00 1.000000 2.114023 2.332827 2.759019
1.054000e+12 0.00 1.000000 2.114608 2.333438 2.759677
1.054000e+12 0.00 1.000000 2.114608 2.333438 2.759677
1.054000e+12 0.00 1.000000 2.114608 2.333438 2.759677
1.054000e+12 0.00 1.000000 2.114608 2.333438 2.759677
1.052000e+12 0.00 1.000000 2.115194 2.334051 2.760335
1.052000e+12 0.00 1.000000 2.115194 2.334051 2.760335
1.052000e+12 0.00 1.000000 2.115194 2.334051 2.760335
1.050000e+12 0.00 1.000000 2.115782 2.334665 2.760995
1.050000e+12 0.00 1.000000 2.115782 2.334665 2.760995
1.050000e+12 0.00 1.000000 2.115782 2.334665 2.760995
1.050000e+12 0.00 1.000000 2.115782 2.334665 2.760995
1.048000e+12 0.00 1.000000 2.116371 2.335280 2.761657
1.048000e+12 0.00 1.000000 2.116371 2.335280 2.761657
1.048000e+12 0.00 1.000000 2.116371 2.335280 2.761657
1.048000e+12 0.00 1.000000 2.116371 2.335280 2.761657
1.048000e+12 0.00 1.000000 2.116371 2.335280 2.761657
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.046000e+12 0.00 1.000000 2.116961 2.335897 2.762319
1.044000e+12 0.00 1.000000 2.117552 2.336515 2.762983
1.042000e+12 0.00 1.000000 2.118144 2.337134 2.763648
1.040000e+12 0.00 1.000000 2.118738 2.337754 2.764315
1.040000e+12 0.00 1.000000 2.118738 2.337754 2.764315
1.040000e+12 0.00 1.000000 2.118738 2.337754 2.764315
1.038000e+12 0.00 1.000000 2.119332 2.338376 2.764983
1.038000e+12 0.00 1.000000 2.119332 2.338376 2.764983
1.038000e+12 0.00 1.000000 2.119332 2.338376 2.764983
1.038000e+12 0.00 1.000000 2.119332 2.338376 2.764983
1.036000e+12 0.00 1.000000 2.119928 2.338999 2.765652
1.036000e+12 0.00 1.000000 2.119928 2.338999 2.765652
1.036000e+12 0.00 1.000000 2.119928 2.338999 2.765652
1.036000e+12 0.00 1.000000 2.119928 2.338999 2.765652
4.753000e+14 0.00 1.000000 0.654881 0.774422 1.025796
4.328000e+14 0.00 1.000000 0.670319 0.791518 1.045907
2.988000e+14 0.00 1.000000 0.733576 0.861326 1.127587
2.726000e+14 0.00 1.000000 0.749786 0.879156 1.148343
2.452000e+14 0.00 1.000000 0.768764 0.900003 1.172559
2.184000e+14 0.00 1.000000 0.789829 0.923107 1.199332
1.859000e+14 0.00 1.000000 0.819719 0.955831 1.237144
1.266000e+14 0.00 1.000000 0.893655 1.036493 1.329834
1.266000e+14 0.00 1.000000 0.893655 1.036493 1.329834
1.104000e+14 0.00 1.000000 0.920911 1.066133 1.363723
1.062000e+14 0.00 1.000000 0.928718 1.074614 1.373404
1.032000e+14 0.00 1.000000 0.934510 1.080904 1.380579
1.031000e+14 0.00 1.000000 0.934707 1.081117 1.380822
1.021000e+14 0.00 1.000000 0.936682 1.083261 1.383267
1.014000e+14 0.00 1.000000 0.938077 1.084776 1.384994
9.534000e+13 0.00 1.000000 0.950631 1.098398 1.400516
9.451000e+13 0.00 1.000000 0.952420 1.100338 1.402725
8.643000e+13 0.00 1.000000 0.970816 1.120280 1.425412
8.575000e+13 0.00 1.000000 0.972452 1.122052 1.427426
8.524000e+13 0.00 1.000000 0.973688 1.123392 1.428948
8.462000e+13 0.00 1.000000 0.975202 1.125032 1.430812
8.442000e+13 0.00 1.000000 0.975693 1.125564 1.431417
8.012000e+13 0.00 1.000000 0.986579 1.137351 1.444804
7.975000e+13 0.00 1.000000 0.987546 1.138398 1.445992
7.913000e+13 0.00 1.000000 0.989177 1.140164 1.447997
7.854000e+13 0.00 1.000000 0.990744 1.141859 1.449921
7.708000e+13 0.00 1.000000 0.994677 1.146115 1.454750
7.545000e+13 0.00 1.000000 0.999168 1.150974 1.460261
7.308000e+13 0.00 1.000000 1.005895 1.158250 1.468509
7.152000e+13 0.00 1.000000 1.010457 1.163183 1.474100
7.080000e+13 0.00 1.000000 1.012601 1.165501 1.476725
6.899000e+13 0.00 1.000000 1.018099 1.171443 1.483454
6.794000e+13 0.00 1.000000 1.021362 1.174970 1.487447
6.639000e+13 0.00 1.000000 1.026285 1.180288 1.493466
6.453000e+13 0.00 1.000000 1.032364 1.186854 1.500893
6.398000e+13 0.00 1.000000 1.034199 1.188836 1.503134
6.348000e+13 0.00 1.000000 1.035883 1.190654 1.505190
5.723000e+13 0.00 1.000000 1.058269 1.214811 1.532478
5.592000e+13 0.00 1.000000 1.063307 1.220244 1.538609
5.564000e+13 0.00 1.000000 1.064401 1.221424 1.539939
5.496000e+13 0.00 1.000000 1.067084 1.224316 1.543201
5.479000e+13 0.00 1.000000 1.067760 1.225045 1.544023
5.473000e+13 0.00 1.000000 1.067999 1.225303 1.544314
5.398000e+13 0.00 1.000000 1.071015 1.228553 1.547980
5.353000e+13 0.00 1.000000 1.072847 1.230528 1.550206
5.324000e+13 0.00 1.000000 1.074037 1.231810 1.551651
5.075000e+13 0.00 1.000000 1.084559 1.243146 1.564425
4.772000e+13 0.00 1.000000 1.098165 1.257798 1.580920
4.604000e+13 0.00 1.000000 1.106130 1.266370 1.590562
4.587000e+13 0.00 1.000000 1.106954 1.267256 1.591559
4.484000e+13 0.00 1.000000 1.112020 1.272706 1.597687
4.392000e+13 0.00 1.000000 1.116655 1.277692 1.603290
4.324000e+13 0.00 1.000000 1.120151 1.281451 1.607514
4.291000e+13 0.00 1.000000 1.121869 1.283299 1.609590
4.027000e+13 0.00 1.000000 1.136169 1.298670 1.626847
4.013000e+13 0.00 1.000000 1.136956 1.299515 1.627796
3.996000e+13 0.00 1.000000 1.137916 1.300547 1.628953
3.970000e+13 0.00 1.000000 1.139393 1.302134 1.630734
3.912000e+13 0.00 1.000000 1.142726 1.305715 1.634751
3.789000e+13 0.00 1.000000 1.149981 1.313507 1.643489
3.645000e+13 0.00 1.000000 1.158813 1.322990 1.654116
3.541000e+13 0.00 1.000000 1.165436 1.330098 1.662079
3.524000e+13 0.00 1.000000 1.166539 1.331282 1.663404
3.502000e+13 0.00 1.000000 1.167975 1.332823 1.665130
3.495000e+13 0.00 1.000000 1.168434 1.333315 1.665682
3.433000e+13 0.00 1.000000 1.172545 1.337726 1.670620
3.415000e+13 0.00 1.000000 1.173754 1.339023 1.672071
3.413000e+13 0.00 1.000000 1.173889 1.339168 1.672233
3.410000e+13 0.00 1.000000 1.174091 1.339385 1.672476
3.402000e+13 0.00 1.000000 1.174632 1.339964 1.673125
3.384000e+13 0.00 1.000000 1.175853 1.341274 1.674591
3.360000e+13 0.00 1.000000 1.177492 1.343033 1.676559
3.348000e+13 0.00 1.000000 1.178317 1.343917 1.677548
